Business Name,Phone Number,Address,Website,Source Query
Chelvies Coffee Roastery,099118 76769,"Chelvies Roastery, Main Rd, NAL Colony, Jeevan Bima Nagar, Bengaluru, Karnataka 560075, India",https://chelviescoffee.com/,coffee shops in bangalore
Café Plume,095919 42490,"5, 1st Main Rd, Stage 2, Domlur, Bengaluru, Karnataka 560071, India",https://airmenus.in/cafeplume,coffee shops in bangalore
Neon Market,091643 96969,"3798, 7th Main Rd, Motappapalya, Indiranagar, Bengaluru, Karnataka 560008, India",https://neon.market/,coffee shops in bangalore
